question_id,question_text,option_a,option_b,option_c,option_d,correct_option,image_url
VOY_1,What is 12 + 18?,25,30,28,35,b,
VOY_2,How many continents are there?,5,6,7,8,c,
VOY_3,What is 25 - 10?,10,12,15,20,c,
VOY_4,Which element has the symbol O?,Oxygen,Gold,Silver,Copper,a,
VOY_5,What is the largest country by area?,USA,Russia,China,Canada,b,
VOY_6,How many bones does an adult human have?,190,206,250,300,b,
VOY_7,What is the capital of Japan?,Seoul,Beijing,Tokyo,Bangkok,c,
VOY_8,Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,d,
VOY_9,What is 15 × 3?,40,42,45,48,c,
VOY_10,How many strings does a violin have?,3,4,5,6,b,
VOY_11,What is the speed of light?,186000 m/s,200000 m/s,150000 m/s,300000 km/s,d,
VOY_12,Which gas do plants absorb?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,c,
VOY_13,What is 100 ÷ 5?,15,20,25,30,b,
VOY_14,How many sides does a hexagon have?,5,6,7,8,b,
VOY_15,What is the smallest planet?,Mercury,Mars,Venus,Earth,a,
VOY_16,How many legs does an octopus have?,6,8,10,12,b,
VOY_17,What is the capital of Brazil?,Rio,Brasília,São Paulo,Salvador,b,
VOY_18,Which metal is liquid at room temperature?,Iron,Gold,Mercury,Silver,c,
VOY_19,What is 7³?,243,343,512,729,b,
VOY_20,How many degrees are in a triangle?,180,270,360,90,a,
VOY_21,What is the chemical formula for water?,H2O,CO2,O2,NaCl,a,
VOY_22,Which is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,b,
VOY_23,How many seconds are in 5 minutes?,300,350,400,450,a,
VOY_24,What is the diameter of Earth?,12000 km,12742 km,13000 km,15000 km,b,
VOY_25,What is 9 × 11?,88,99,110,121,b,